2019-03-22 10:58:29.065 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 0 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:59:39.367 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:59:39.710 [main] INFO  org.reflections.Reflections - Reflections took 265 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:59:40.398 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:59:40.632 [main] INFO  org.reflections.Reflections - Reflections took 78 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:59:43.409 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:59:43.409 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:59:43.440 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:59:43.440 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:59:43.471 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:00:20.593 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:00:20.984 [main] INFO  org.reflections.Reflections - Reflections took 297 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:00:21.625 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:00:21.859 [main] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:00:25.451 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 11:00:25.451 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:00:25.482 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:00:25.498 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:00:25.513 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:16:10.905 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 11:16:11.264 [main] INFO  org.reflections.Reflections - Reflections took 266 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 11:16:12.001 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 11:16:12.220 [main] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 11:16:15.471 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
